Solvent,TPSA_solv,MW_solv,HeavyAtomCount_solv,Gsolv_sol,Dipole_sol,Polarizability_sol,HOMO_sol,LUMO_sol,MaxPartialCharge_sol,MinPartialCharge_sol,LogP_sol
PX_0.2-CHO_0.8,14.168099999999999,99.4340294546,7.17,-0.1334772944995662,2.54517454,134.81601265999998,-0.2526247,-0.09904869999999999,0.77262,-0.7063699999999999,1.6528528000000002
PX_0.3-CHO_0.7,12.6318,100.1544871388,7.26,-0.12682853099964825,2.51787412,132.94778348,-0.25261659999999997,-0.0989686,0.77136,-0.70286,1.7233984
PX_0.4-CHO_0.6,10.924800000000001,100.9549956768,7.36,-0.11944101599973941,2.48754032,130.87197328,-0.2526076,-0.0988796,0.76996,-0.69896,1.8017824
PX_0.5-CHO_0.5,9.2178,101.7555042148,7.460000000000001,-0.1120535009998306,2.45720652,128.79616307999999,-0.2525986,-0.0987906,0.7685600000000001,-0.69506,1.8801664000000002
PX_0.6-CHO_0.4,7.510800000000001,102.5560127528,7.5600000000000005,-0.10466598599992177,2.4268727200000004,126.72035288000001,-0.25258959999999997,-0.0987016,0.7671600000000001,-0.69116,1.9585504
PX_0.7-CHO_0.3,5.803800000000001,103.3565212908,7.66,-0.09727847100001294,2.3965389200000002,124.64454268,-0.2525806,-0.0986126,0.76576,-0.6872600000000001,2.0369344000000003
PX_0.8-CHO_0.2,3.9261000000000004,104.23708068260001,7.7700000000000005,-0.08915220450011321,2.3631717400000003,122.36115146,-0.25257070000000004,-0.0985147,0.76422,-0.68297,2.1231568000000003
PX_0.9-CHO_0.1,2.0484,105.1176400744,7.88,-0.0810259380002135,2.3298045600000004,120.07776024,-0.2525608,-0.0984168,0.76268,-0.6786800000000001,2.2093792
PX_0.1-HMPA_0.9,23.039400000000004,168.89307903516,10.579999999999998,-0.14222231639901733,2.5811815000000005,137.47154718,-0.25266180000000005,-0.09917859999999999,0.77476,-0.7118399999999999,0.9926795999999999
PX_0.2-HMPA_0.8,19.824600000000004,160.12821921444,10.22,-0.1324463075991995,2.5410265,134.69692962,-0.25264620000000004,-0.0990574,0.7728400000000001,-0.7065600000000001,1.1755764
PX_0.3-HMPA_0.7,16.609800000000003,151.36335939372,9.86,-0.1226702987993817,2.5008715,131.92231205999997,-0.25263060000000004,-0.0989362,0.77092,-0.70128,1.3584732
PX_0.4-HMPA_0.6,13.930800000000003,144.05930954311998,9.56,-0.1145236247995335,2.467409,129.61013076,-0.2526176,-0.0988352,0.76932,-0.69688,1.5108872
PX_0.5-HMPA_0.5,10.983900000000002,136.02485470745998,9.23,-0.10556228339970049,2.43060025,127.06673132999998,-0.2526033,-0.0987241,0.76756,-0.69204,1.6785425999999999
PX_0.6-HMPA_0.4,8.572800000000003,129.45120984192,8.96,-0.09823027679983712,2.4004840000000005,124.98576816,-0.2525916,-0.0986332,0.76612,-0.68808,1.8157152000000003
PX_0.7-HMPA_0.3,6.1617000000000015,122.87756497638,8.690000000000001,-0.09089827019997375,2.37036775,122.90480499,-0.2525799,-0.0985423,0.76468,-0.6841200000000001,1.9528878
PX_0.8-HMPA_0.2,4.0185,117.03432509589999,8.45,-0.0843809310000952,2.3435977500000003,121.05505994999999,-0.2525695,-0.0984615,0.7634000000000001,-0.6806000000000001,2.0748189999999997
PX_0.9-HMPA_0.1,1.8753000000000006,111.19108521542,8.21,-0.07786359180021665,2.3168277500000003,119.20531491000001,-0.25255910000000004,-0.0983807,0.7621200000000001,-0.67708,2.1967502000000003
PX_0.1-BTN_0.9,22.1247,71.64927730072,5.210000000000001,-0.14610300660063424,2.59702389,138.51315975,-0.25266160000000004,-0.09922140000000002,0.7749500000000001,-0.71306,1.3796152000000002
PX_0.2-BTN_0.8,20.2215,74.61090938839999,5.45,-0.13974239700060748,2.5709060499999996,136.71304175,-0.252652,-0.099143,0.7737499999999999,-0.7096999999999999,1.4590839999999998
PX_0.3-BTN_0.7,18.3183,77.57254147608,5.69,-0.13338178740058068,2.54478821,134.91292375,-0.2526424,-0.0990646,0.7725500000000001,-0.7063400000000001,1.5385528
PX_0.4-BTN_0.6,16.1772,80.90437757472,5.960000000000001,-0.12622610160055056,2.51540564,132.88779100000002,-0.2526316,-0.09897640000000002,0.7712000000000001,-0.7025600000000001,1.6279552000000002
PX_0.5-BTN_0.5,14.0361,84.23621367336,6.2299999999999995,-0.11907041580052043,2.48602307,130.86265825,-0.2526208,-0.0988882,0.7698499999999999,-0.69878,1.7173576
PX_0.6-BTN_0.4,11.6571,87.93825378296,6.53,-0.11111965380048695,2.45337577,128.61251075,-0.2526088,-0.0987902,0.7683500000000001,-0.69458,1.8166936
PX_0.7-BTN_0.3,9.0402,92.01049790351999,6.859999999999999,-0.10237381560045013,2.41746374,126.1373485,-0.25259560000000003,-0.0986824,0.7667,-0.68996,1.9259632
PX_0.8-BTN_0.2,6.1854,96.45294603503999,7.22,-0.09283290120040996,2.37828698,123.4371715,-0.2525812,-0.0985648,0.7649,-0.68492,2.0451664000000003
PX_0.9-BTN_0.1,3.3306,100.89539416656,7.58,-0.08329198680036978,2.3391102200000002,120.7369945,-0.2525668,-0.0984472,0.7631000000000001,-0.67988,2.1643696
PX_0.1-APN_0.9,43.2978,107.88960344175999,8.0,-0.14684039760038112,2.60008674,138.79358816,-0.2526683,-0.0992382,0.77556,-0.71404,1.6578132
PX_0.2-APN_0.8,39.0156,107.71045862751998,8.0,-0.13945451520037536,2.5697554800000004,136.69621231999997,-0.2526566,-0.0991464,0.7741199999999999,-0.7100799999999999,1.7216664
PX_0.3-APN_0.7,34.2576,107.51140883392,8.0,-0.13124797920036893,2.5360540800000004,134.36579472,-0.25264359999999997,-0.0990444,0.7725200000000001,-0.70568,1.7926144000000002
PX_0.4-APN_0.6,29.499599999999997,107.31235904031999,8.0,-0.12304144320036256,2.50235268,132.03537712,-0.25263060000000004,-0.0989424,0.77092,-0.70128,1.8635624000000002
PX_0.5-APN_0.5,25.2174,107.13321422608,8.0,-0.1156555608003568,2.4720214200000004,129.93800127999998,-0.25261890000000004,-0.0988506,0.7694799999999999,-0.6973199999999999,1.9274156000000002
PX_0.6-APN_0.4,19.9836,106.91425945312,8.0,-0.10662837120034976,2.43494988,127.37454191999998,-0.2526046,-0.0987384,0.76772,-0.69248,2.0054584
PX_0.7-APN_0.3,15.2256,106.71520965951999,8.0,-0.09842183520034337,2.4012484800000005,125.04412432000001,-0.2525916,-0.09863640000000001,0.76612,-0.68808,2.0764064
PX_0.8-APN_0.2,10.4676,106.51615986592,8.0,-0.09021529920033698,2.3675470800000005,122.71370672,-0.2525786,-0.0985344,0.76452,-0.6836800000000001,2.1473544
PX_0.9-APN_0.1,5.2338,106.29720509296,8.0,-0.08118810960032995,2.33047554,120.15024736000001,-0.2525643,-0.0984222,0.7627600000000001,-0.6788400000000001,2.2253972
PX_0.1-GTN_0.9,43.7736,95.01511036224,7.08,-0.14816171519911772,2.60556552,139.1879234,-0.25266960000000005,-0.0992576,0.7757200000000001,-0.71448,1.2918264000000002
PX_0.2-GTN_0.8,39.9672,95.97712253248,7.16,-0.1415529503992225,2.5784210400000003,137.30956379999998,-0.2526592,-0.09917519999999999,0.77444,-0.71096,1.3797928000000002
PX_0.3-GTN_0.7,35.685,97.059386224,7.25,-0.13411808999934038,2.5478835,135.19640925,-0.2526475,-0.0990825,0.773,-0.707,1.478755
PX_0.4-GTN_0.6,31.4028,98.14164991551999,7.34,-0.1266832295994583,2.51734596,133.0832547,-0.2526358,-0.09898979999999999,0.77156,-0.7030400000000001,1.5777172000000002
